"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 14, 2023","1,677.87","1,673.83","1,682.04","1,664.41","1.13M","0.23%"
"Mar 13, 2023","1,673.93","1,580.28","1,690.18","1,565.83","1.30M","5.93%"
"Mar 12, 2023","1,580.24","1,472.08","1,585.09","1,452.33","1.06M","7.42%"
"Mar 11, 2023","1,471.15","1,426.74","1,475.92","1,408.58","1.43M","3.11%"
"Mar 10, 2023","1,426.75","1,437.49","1,437.49","1,371.47","1.01M","-0.82%"
"Mar 09, 2023","1,438.50","1,533.04","1,545.98","1,413.17","764.77K","-6.17%"
"Mar 08, 2023","1,533.04","1,561.79","1,569.70","1,531.28","478.44K","-1.84%"
"Mar 07, 2023","1,561.78","1,565.84","1,580.95","1,536.31","460.10K","-0.26%"
"Mar 06, 2023","1,565.84","1,564.36","1,581.13","1,555.43","322.16K","0.09%"
"Mar 05, 2023","1,564.37","1,566.73","1,587.95","1,556.84","313.01K","-0.15%"
"Mar 04, 2023","1,566.73","1,569.45","1,577.02","1,550.10","247.02K","-0.14%"
"Mar 03, 2023","1,568.89","1,647.86","1,649.19","1,547.61","783.74K","-4.76%"
"Mar 02, 2023","1,647.38","1,666.09","1,677.45","1,620.20","440.63K","-1.12%"
"Mar 01, 2023","1,666.09","1,604.69","1,668.55","1,595.40","497.12K","3.83%"
"Feb 28, 2023","1,604.69","1,633.66","1,646.33","1,598.67","411.49K","-1.77%"
"Feb 27, 2023","1,633.66","1,641.59","1,664.98","1,609.82","458.53K","-0.48%"
"Feb 26, 2023","1,641.60","1,594.66","1,648.77","1,588.65","326.58K","2.94%"
"Feb 25, 2023","1,594.66","1,608.24","1,608.62","1,562.10","309.29K","-0.84%"
"Feb 24, 2023","1,608.24","1,650.52","1,663.82","1,579.68","548.07K","-2.56%"
"Feb 23, 2023","1,650.52","1,643.39","1,678.20","1,630.94","529.75K","0.43%"
"Feb 22, 2023","1,643.39","1,659.41","1,666.39","1,600.79","560.40K","-0.97%"
"Feb 21, 2023","1,659.41","1,703.29","1,716.35","1,637.16","554.52K","-2.58%"
"Feb 20, 2023","1,703.27","1,681.49","1,719.10","1,651.54","478.59K","1.29%"
"Feb 19, 2023","1,681.52","1,691.62","1,722.28","1,670.97","427.00K","-0.60%"
"Feb 18, 2023","1,691.62","1,693.96","1,708.87","1,681.17","283.51K","-0.14%"
"Feb 17, 2023","1,693.96","1,640.66","1,720.06","1,631.92","617.21K","3.25%"
"Feb 16, 2023","1,640.66","1,675.43","1,738.87","1,634.97","894.27K","-2.08%"
"Feb 15, 2023","1,675.43","1,555.45","1,676.94","1,542.80","627.07K","7.71%"
"Feb 14, 2023","1,555.46","1,505.85","1,565.20","1,494.30","705.28K","3.29%"
"Feb 13, 2023","1,505.84","1,515.44","1,525.56","1,464.10","681.85K","-0.63%"
"Feb 12, 2023","1,515.44","1,538.34","1,547.30","1,495.05","302.73K","-1.49%"
"Feb 11, 2023","1,538.34","1,513.12","1,542.64","1,508.07","306.24K","1.62%"
"Feb 10, 2023","1,513.82","1,545.35","1,554.19","1,499.49","523.33K","-2.04%"
"Feb 09, 2023","1,545.35","1,650.97","1,655.96","1,530.98","702.21K","-6.40%"
"Feb 08, 2023","1,650.99","1,671.39","1,694.28","1,631.15","447.57K","-1.22%"
"Feb 07, 2023","1,671.40","1,613.72","1,676.83","1,613.20","481.91K","3.57%"
"Feb 06, 2023","1,613.72","1,629.44","1,657.75","1,606.59","401.03K","-0.96%"
"Feb 05, 2023","1,629.44","1,666.90","1,671.88","1,612.70","435.14K","-2.25%"
"Feb 04, 2023","1,666.90","1,663.78","1,694.58","1,646.11","328.66K","0.19%"
"Feb 03, 2023","1,663.79","1,641.70","1,673.59","1,628.73","489.79K","1.34%"
"Feb 02, 2023","1,641.71","1,642.10","1,710.27","1,632.39","685.27K","-0.02%"
"Feb 01, 2023","1,642.10","1,585.27","1,647.27","1,560.18","505.44K","3.59%"
"Jan 31, 2023","1,585.27","1,566.50","1,602.03","1,562.04","368.94K","1.20%"
"Jan 30, 2023","1,566.50","1,645.97","1,647.25","1,540.25","630.55K","-4.83%"
"Jan 29, 2023","1,645.97","1,572.13","1,657.19","1,566.90","595.67K","4.63%"
"Jan 28, 2023","1,573.07","1,597.61","1,605.96","1,561.24","332.62K","-1.54%"
"Jan 27, 2023","1,597.60","1,602.54","1,620.15","1,560.21","533.75K","-0.31%"
"Jan 26, 2023","1,602.55","1,611.20","1,629.89","1,581.76","552.26K","-0.54%"
"Jan 25, 2023","1,611.20","1,555.97","1,638.97","1,523.71","681.59K","3.54%"
"Jan 24, 2023","1,556.15","1,626.52","1,641.17","1,539.51","493.47K","-4.33%"
"Jan 23, 2023","1,626.53","1,627.04","1,643.82","1,591.90","436.57K","-0.03%"
"Jan 22, 2023","1,627.03","1,626.66","1,662.13","1,609.32","456.36K","0.09%"
"Jan 21, 2023","1,625.53","1,659.96","1,678.27","1,622.89","523.34K","-2.08%"
"Jan 20, 2023","1,659.98","1,551.12","1,662.26","1,543.21","472.15K","6.98%"
"Jan 19, 2023","1,551.62","1,511.35","1,560.70","1,510.65","329.04K","2.67%"
"Jan 18, 2023","1,511.31","1,564.66","1,604.74","1,505.37","801.71K","-3.41%"
"Jan 17, 2023","1,564.67","1,576.94","1,603.32","1,544.45","536.73K","-0.78%"
"Jan 16, 2023","1,576.94","1,552.69","1,598.18","1,526.40","617.00K","1.56%"
"Jan 15, 2023","1,552.69","1,550.05","1,564.34","1,517.40","411.43K","0.17%"
"Jan 14, 2023","1,550.02","1,450.86","1,576.83","1,449.47","1.03M","6.83%"
"Jan 13, 2023","1,450.86","1,416.08","1,463.53","1,401.98","552.05K","2.46%"
"Jan 12, 2023","1,416.08","1,389.84","1,435.95","1,365.78","960.62K","1.89%"
"Jan 11, 2023","1,389.84","1,335.14","1,392.40","1,322.10","509.99K","4.10%"
"Jan 10, 2023","1,335.13","1,320.51","1,344.42","1,316.95","487.24K","1.11%"
"Jan 09, 2023","1,320.51","1,288.39","1,344.39","1,285.97","629.22K","2.49%"
"Jan 08, 2023","1,288.38","1,263.91","1,289.13","1,259.15","231.75K","1.94%"
"Jan 07, 2023","1,263.90","1,269.14","1,270.95","1,261.46","141.94K","-0.41%"
"Jan 06, 2023","1,269.14","1,250.95","1,274.85","1,240.38","369.54K","1.45%"
"Jan 05, 2023","1,250.95","1,256.92","1,259.08","1,242.93","289.49K","-0.47%"
"Jan 04, 2023","1,256.92","1,214.57","1,266.97","1,212.91","504.28K","3.49%"
"Jan 03, 2023","1,214.57","1,213.93","1,219.75","1,206.83","219.98K","0.05%"
