"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 03, 2023","332.20","322.70","335.00","318.60","585.50K","2.94%"
"Feb 02, 2023","322.70","316.90","334.10","316.40","594.26K","1.83%"
"Feb 01, 2023","316.90","312.11","319.30","305.82","401.16K","1.54%"
"Jan 31, 2023","312.11","307.10","314.00","305.40","286.17K","1.63%"
"Jan 30, 2023","307.10","317.19","320.70","302.71","417.43K","-3.21%"
"Jan 29, 2023","317.29","306.10","320.40","304.90","442.71K","3.59%"
"Jan 28, 2023","306.30","307.99","313.39","303.81","237.85K","-0.55%"
"Jan 27, 2023","307.99","304.90","310.40","299.41","279.35K","1.02%"
"Jan 26, 2023","304.90","306.71","309.50","302.00","350.51K","-0.59%"
"Jan 25, 2023","306.71","300.30","313.70","293.81","460.48K","2.13%"
"Jan 24, 2023","300.30","305.20","323.00","299.71","647.05K","-1.61%"
"Jan 23, 2023","305.20","303.10","307.70","301.21","305.82K","0.69%"
"Jan 22, 2023","303.10","299.10","311.30","298.70","392.14K","1.37%"
"Jan 21, 2023","299.00","305.10","309.80","298.70","513.43K","-2.00%"
"Jan 20, 2023","305.10","294.60","305.30","286.81","430.19K","3.56%"
"Jan 19, 2023","294.60","286.90","295.30","286.32","222.45K","2.68%"
"Jan 18, 2023","286.90","299.30","305.00","281.72","639.91K","-4.14%"
"Jan 17, 2023","299.30","299.10","305.40","296.25","287.83K","0.07%"
"Jan 16, 2023","299.10","302.10","308.00","293.69","361.21K","-0.99%"
"Jan 15, 2023","302.10","305.20","306.10","292.10","297.81K","-1.02%"
"Jan 14, 2023","305.20","293.70","314.30","293.50","726.73K","3.92%"
"Jan 13, 2023","293.70","287.70","295.50","285.00","320.90K","2.08%"
"Jan 12, 2023","287.70","284.60","288.20","279.30","396.31K","1.09%"
"Jan 11, 2023","284.60","277.20","286.79","274.30","269.53K","2.71%"
"Jan 10, 2023","277.10","272.61","278.69","270.71","266.17K","1.65%"
"Jan 09, 2023","272.61","274.61","283.40","271.40","448.39K","-0.73%"
"Jan 08, 2023","274.61","261.30","274.92","260.30","241.53K","5.09%"
"Jan 07, 2023","261.30","259.90","263.59","259.40","118.17K","0.54%"
"Jan 06, 2023","259.90","256.60","260.69","254.90","204.29K","1.29%"
"Jan 05, 2023","256.60","258.90","259.10","255.30","148.87K","-0.93%"
"Jan 04, 2023","259.00","246.20","260.80","245.70","372.96K","5.20%"
"Jan 03, 2023","246.20","245.30","246.90","244.60","115.83K","0.41%"
"Jan 02, 2023","245.20","244.40","247.90","241.20","174.36K","0.33%"
"Jan 01, 2023","244.40","246.10","246.70","243.50","110.05K","-0.69%"
"Dec 31, 2022","246.10","245.80","247.90","244.90","135.16K","0.12%"
"Dec 30, 2022","245.80","246.30","246.60","242.80","129.09K","-0.20%"
"Dec 29, 2022","246.30","244.40","246.70","243.40","164.86K","0.78%"
"Dec 28, 2022","244.40","246.60","247.10","241.90","212.71K","-0.89%"
"Dec 27, 2022","246.60","244.30","248.10","242.30","198.69K","0.94%"
"Dec 26, 2022","244.30","243.20","244.80","242.00","117.70K","0.45%"
"Dec 25, 2022","243.20","244.50","245.80","241.50","126.34K","-0.53%"
"Dec 24, 2022","244.50","246.20","246.20","243.80","99.07K","-0.69%"
"Dec 23, 2022","246.20","245.90","248.40","244.00","179.05K","0.12%"
"Dec 22, 2022","245.90","246.20","248.20","240.40","250.57K","-0.12%"
"Dec 21, 2022","246.20","251.40","251.40","245.40","196.33K","-2.07%"
"Dec 20, 2022","251.40","240.50","253.00","239.40","323.25K","4.54%"
"Dec 19, 2022","240.50","251.00","253.20","237.69","413.64K","-4.18%"
"Dec 18, 2022","251.00","242.00","253.50","239.70","530.96K","3.72%"
"Dec 17, 2022","242.00","231.10","244.00","220.50","794.64K","4.72%"
"Dec 16, 2022","231.10","258.60","264.40","226.09","886.19K","-10.64%"
"Dec 15, 2022","258.60","267.70","268.00","256.60","354.61K","-3.40%"
"Dec 14, 2022","267.70","272.20","278.30","265.80","586.48K","-1.65%"
"Dec 13, 2022","272.20","276.10","281.20","256.20","1.32M","-1.41%"
"Dec 12, 2022","276.10","284.50","285.70","272.71","511.26K","-2.95%"
"Dec 11, 2022","284.50","288.20","291.19","283.50","209.48K","-1.25%"
"Dec 10, 2022","288.10","286.10","289.80","285.80","149.78K","0.73%"
"Dec 09, 2022","286.00","290.50","291.70","285.01","311.72K","-1.55%"
"Dec 08, 2022","290.50","284.10","291.68","282.40","294.82K","2.25%"
"Dec 07, 2022","284.10","290.20","290.69","281.60","376.67K","-2.10%"
"Dec 06, 2022","290.20","288.41","290.69","286.82","259.55K","0.62%"
"Dec 05, 2022","288.41","291.80","297.09","286.21","310.02K","-1.30%"
"Dec 04, 2022","292.19","290.40","292.58","288.30","250.92K","0.62%"
"Dec 03, 2022","290.40","293.50","294.29","290.00","242.27K","-1.06%"
"Dec 02, 2022","293.50","292.10","293.80","285.70","375.98K","0.48%"
"Dec 01, 2022","292.10","300.40","301.80","290.21","817.47K","-2.76%"
"Nov 30, 2022","300.40","295.40","305.10","293.42","486.75K","1.69%"
"Nov 29, 2022","295.39","293.50","305.18","289.22","438.79K","0.68%"
"Nov 28, 2022","293.40","307.60","309.49","287.67","630.46K","-4.62%"
"Nov 27, 2022","307.60","311.20","316.59","306.91","322.34K","-1.16%"
"Nov 26, 2022","311.20","300.69","317.59","300.11","589.31K","3.59%"
"Nov 25, 2022","300.41","300.11","305.16","294.41","481.05K","0.10%"
"Nov 24, 2022","300.11","298.90","303.68","294.31","571.61K","0.47%"
"Nov 23, 2022","298.69","266.68","301.29","265.00","1.26M","12.00%"
"Nov 22, 2022","266.68","254.10","267.77","252.31","371.96K","4.95%"
"Nov 21, 2022","254.10","264.21","264.99","250.60","603.90K","-3.89%"
"Nov 20, 2022","264.39","272.61","273.79","262.02","319.52K","-3.01%"
"Nov 19, 2022","272.61","271.21","273.99","270.60","202.45K","-0.15%"
"Nov 18, 2022","273.00","268.51","274.79","268.51","288.04K","1.68%"
"Nov 17, 2022","268.50","270.20","273.30","263.61","390.45K","-0.63%"
"Nov 16, 2022","270.20","277.00","280.09","269.03","408.65K","-2.46%"
"Nov 15, 2022","277.00","279.00","282.09","273.70","464.58K","-0.72%"
"Nov 14, 2022","279.00","276.70","291.79","268.02","852.65K","0.83%"
"Nov 13, 2022","276.70","282.69","286.39","273.69","467.74K","-2.12%"
"Nov 12, 2022","282.69","290.20","291.83","271.90","563.53K","-2.59%"
"Nov 11, 2022","290.20","304.01","305.79","279.75","715.64K","-4.54%"
"Nov 10, 2022","304.01","266.91","312.00","263.90","1.45M","13.90%"
"Nov 09, 2022","266.91","326.84","332.60","260.52","1.99M","-18.50%"
"Nov 08, 2022","327.50","336.90","393.42","300.16","3.27M","-2.79%"
"Nov 07, 2022","336.90","338.28","344.19","326.74","773.89K","-0.41%"
"Nov 06, 2022","338.28","349.11","355.32","338.28","411.73K","-3.18%"
"Nov 05, 2022","349.40","354.50","360.72","346.36","432.34K","-1.44%"
"Nov 04, 2022","354.50","329.61","358.59","328.31","790.51K","7.55%"
"Nov 03, 2022","329.61","320.20","338.21","318.11","652.49K","2.94%"
"Nov 02, 2022","320.20","323.90","329.31","315.71","590.36K","-1.14%"
"Nov 01, 2022","323.90","325.60","334.49","317.60","575.82K","-0.58%"
"Oct 31, 2022","325.79","313.50","337.10","306.92","1.10M","3.92%"
"Oct 30, 2022","313.50","304.40","318.60","302.40","570.88K","2.99%"
"Oct 29, 2022","304.40","297.81","308.20","295.70","581.02K","2.21%"
"Oct 28, 2022","297.81","286.70","300.81","285.82","436.30K","3.84%"
"Oct 27, 2022","286.80","290.30","293.29","284.90","331.55K","-1.21%"
"Oct 26, 2022","290.30","284.10","291.99","284.10","331.71K","2.18%"
"Oct 25, 2022","284.10","274.10","289.70","272.10","407.25K","3.65%"
"Oct 24, 2022","274.10","275.99","277.20","271.70","162.33K","-0.68%"
"Oct 23, 2022","275.99","270.49","276.69","268.89","144.26K","2.03%"
"Oct 22, 2022","270.49","270.00","271.10","268.40","89.93K","0.18%"
"Oct 21, 2022","270.00","269.00","271.00","263.90","208.64K","0.37%"
"Oct 20, 2022","269.00","272.09","273.30","267.69","176.43K","-1.14%"
"Oct 19, 2022","272.10","273.19","273.79","270.40","161.82K","-0.40%"
"Oct 18, 2022","273.19","275.70","276.00","270.21","206.23K","-0.91%"
"Oct 17, 2022","275.70","272.50","275.90","270.00","197.49K","1.17%"
"Oct 16, 2022","272.50","268.20","273.80","268.00","194.74K","1.60%"
"Oct 15, 2022","268.20","269.50","271.30","267.60","152.00K","-0.48%"
"Oct 14, 2022","269.50","271.70","276.69","268.11","312.39K","-0.81%"
"Oct 13, 2022","271.70","270.81","273.69","257.05","574.01K","0.33%"
"Oct 12, 2022","270.81","271.31","272.80","269.40","178.00K","-0.18%"
"Oct 11, 2022","271.31","271.51","273.80","267.89","236.03K","-0.08%"
"Oct 10, 2022","271.51","278.20","279.10","271.51","227.92K","-2.37%"
"Oct 09, 2022","278.11","276.40","279.40","275.21","179.57K","0.65%"
"Oct 08, 2022","276.30","282.41","282.70","275.60","194.35K","-2.16%"
