"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 31, 2023","94.140","91.260","96.260","91.260","1.05M","3.16%"
"Jan 30, 2023","91.260","94.880","95.970","89.010","986.47K","-3.82%"
"Jan 29, 2023","94.880","89.670","97.530","89.670","1.27M","5.81%"
"Jan 28, 2023","89.670","88.900","89.900","87.160","392.05K","0.85%"
"Jan 27, 2023","88.910","87.580","89.210","85.820","418.64K","1.52%"
"Jan 26, 2023","87.580","89.340","89.920","86.900","476.01K","-1.97%"
"Jan 25, 2023","89.340","87.230","91.860","85.560","529.32K","2.40%"
"Jan 24, 2023","87.250","89.860","91.280","86.100","500.07K","-2.90%"
"Jan 23, 2023","89.860","87.570","92.980","87.550","691.22K","2.62%"
"Jan 22, 2023","87.570","87.870","90.020","86.610","501.90K","-0.43%"
"Jan 21, 2023","87.950","90.320","91.490","87.870","720.86K","-2.62%"
"Jan 20, 2023","90.320","84.200","91.040","83.010","757.42K","7.23%"
"Jan 19, 2023","84.230","82.620","84.500","81.820","484.91K","1.95%"
"Jan 18, 2023","82.620","86.990","88.360","82.400","935.81K","-5.02%"
"Jan 17, 2023","86.990","85.910","88.930","84.740","740.82K","1.26%"
"Jan 16, 2023","85.910","87.400","89.090","84.530","750.06K","-1.70%"
"Jan 15, 2023","87.400","87.820","88.590","85.510","586.55K","-0.48%"
"Jan 14, 2023","87.820","86.260","90.910","85.930","1.75M","1.81%"
"Jan 13, 2023","86.260","86.120","87.780","83.640","891.19K","0.16%"
"Jan 12, 2023","86.120","84.020","86.130","82.360","1.43M","2.50%"
"Jan 11, 2023","84.020","80.830","84.960","79.900","968.49K","3.95%"
"Jan 10, 2023","80.830","81.630","82.840","79.530","848.09K","-0.98%"
"Jan 09, 2023","81.630","78.480","83.410","78.160","1.18M","4.01%"
"Jan 08, 2023","78.480","76.340","78.480","75.280","625.89K","2.80%"
"Jan 07, 2023","76.340","75.930","76.670","75.550","388.94K","0.54%"
